Plant,Region,State,Product,Industry,Month,Year,Production_Volume_Tons,Sales_Volume_Tons,Revenue_INR,Production_Cost_INR,Profit_INR,Customer_Count,Delivery_Time_Days,Customer_Satisfaction,Plant_Efficiency_Percent
Pune,West,Maharashtra,Argon,Healthcare,Nov,2024,1741,1631,4100334,2929719,1170615,359,5,7.78,94.88
Vadodara,West,Gujarat,Hydrogen,Pharmaceutical,May,2025,1690,1440,4164480,3377881,786599,220,4,8.38,81.24
Dahej,West,Gujarat,Oxygen,Steel,Apr,2024,4525,4019,16469862,13883157,2586705,220,1,7.68,76.48
Jamshedpur,East,Jharkhand,Helium,Food & Beverage,Jul,2024,820,692,1739688,1288576,451112,492,9,8.16,88.22
Vadodara,West,Gujarat,Nitrogen,Pharmaceutical,Aug,2022,3673,2983,5733326,4520899,1212427,341,8,7.79,92.73
Pune,West,Maharashtra,Hydrogen,Pharmaceutical,Nov,2025,965,953,2634092,1824149,809943,278,9,7.75,79.23
Hazira,West,Gujarat,Argon,Chemical,Sep,2024,2368,2233,4314156,3473378,840778,345,3,9.65,86.41
Hyderabad,South,Telangana,Helium,Chemical,Jul,2024,2321,2072,7430192,6295733,1134459,415,2,7.14,77.67
Hazira,West,Gujarat,Carbon Dioxide,Pharmaceutical,Aug,2023,4396,3620,12677240,10718874,1958366,218,7,8.21,78.93
Chennai,South,Tamil Nadu,Hydrogen,Electronics,Jul,2025,879,741,1658358,1271794,386564,75,5,7.61,75.25
Bengaluru,South,Karnataka,Helium,Chemical,Nov,2025,3831,3089,10731186,9025604,1705582,406,7,7.43,84.08
Bengaluru,South,Karnataka,Helium,Food & Beverage,Mar,2024,4021,3939,15094248,12611360,2482888,133,10,7.75,97.64
Jamshedpur,East,Jharkhand,Nitrogen,Steel,Dec,2024,2094,1732,3328904,2533648,795256,81,3,7.94,95.52
Pune,West,Maharashtra,Nitrogen,Steel,Aug,2022,1106,939,2446095,1841414,604681,273,1,7.04,83.26
Hazira,West,Gujarat,Argon,Chemical,Nov,2024,3322,2666,10685328,8364997,2320331,367,5,7.98,97.75
Bengaluru,South,Karnataka,Helium,Steel,Oct,2022,4598,4281,11010732,8611509,2399223,158,10,8.42,98.75
Chennai,South,Tamil Nadu,Carbon Dioxide,Steel,Apr,2023,2982,2834,9876490,7392294,2484196,167,2,7.34,77.18
Hyderabad,South,Telangana,Carbon Dioxide,Food & Beverage,Mar,2022,1198,1140,2295960,1768343,527617,225,10,9.74,84.23
Pune,West,Maharashtra,Helium,Chemical,Nov,2022,3182,2792,7996288,6128118,1868170,316,10,9.77,85.83
Vadodara,West,Gujarat,Argon,Healthcare,Jan,2024,4180,3387,12806247,8644404,4161843,55,7,8.47,89.54
Hazira,West,Gujarat,Carbon Dioxide,Electronics,Feb,2023,3015,2631,8803326,5317355,3485971,164,8,7.33,98.52
Pune,West,Maharashtra,Oxygen,Pharmaceutical,Feb,2022,1514,1245,4033800,3148955,884845,429,4,9.09,81.69
Pune,West,Maharashtra,Helium,Food & Beverage,Jan,2023,4681,4078,7605470,4407819,3197651,88,4,8.59,94.16
Jamshedpur,East,Jharkhand,Nitrogen,Chemical,Oct,2024,2923,2738,8096266,6615725,1480541,150,9,9.49,83.2
Hyderabad,South,Telangana,Hydrogen,Steel,Nov,2024,4578,3691,7119939,4623863,2496076,314,4,9.67,83.07
Pune,West,Maharashtra,Nitrogen,Pharmaceutical,Dec,2023,2481,2190,4423800,3510935,912865,140,7,8.76,77.07
Chennai,South,Tamil Nadu,Helium,Healthcare,Sep,2022,649,574,1744960,970734,774226,406,2,8.75,75.46
Dahej,West,Gujarat,Oxygen,Chemical,Mar,2024,2390,2098,3797380,2773835,1023545,396,7,9.17,82.04
Vadodara,West,Gujarat,Helium,Chemical,Mar,2025,4821,4226,15365736,9770448,5595288,74,4,8.28,86.36
Hyderabad,South,Telangana,Argon,Steel,Sep,2023,2457,2017,5817028,4069487,1747541,263,8,7.29,93.37
Pune,West,Maharashtra,Argon,Healthcare,May,2023,3996,3698,9318960,7228119,2090841,81,1,9.82,90.09
Vadodara,West,Gujarat,Nitrogen,Pharmaceutical,Jun,2025,2360,2077,5875833,3887438,1988395,468,6,9.57,75.09
Pune,West,Maharashtra,Oxygen,Healthcare,Jun,2025,2519,2146,7392970,5115102,2277868,71,2,7.43,81.46
Hazira,West,Gujarat,Oxygen,Healthcare,Apr,2024,2811,2714,9317162,6967739,2349423,226,1,8.69,79.28
Dahej,West,Gujarat,Hydrogen,Electronics,Feb,2025,532,519,1729308,1087714,641594,216,3,7.83,83.41
Bengaluru,South,Karnataka,Oxygen,Chemical,Apr,2023,4106,3641,6987079,4336008,2651071,245,9,8.5,88.84
Chennai,South,Tamil Nadu,Nitrogen,Healthcare,Sep,2023,4246,3822,12929826,9122835,3806991,406,1,7.74,81.59
Hazira,West,Gujarat,Carbon Dioxide,Healthcare,May,2024,4191,3792,13071024,8977756,4093268,361,10,7.65,86.69
Vadodara,West,Gujarat,Carbon Dioxide,Healthcare,Jan,2024,1011,980,3287900,1941451,1346449,181,10,9.31,88.51
Jamshedpur,East,Jharkhand,Hydrogen,Chemical,Feb,2024,2526,2294,4904572,3193892,1710680,70,4,9.6,81.89
Pune,West,Maharashtra,Hydrogen,Electronics,Nov,2025,616,525,1975575,1259022,716553,400,9,8.05,80.8
Hyderabad,South,Telangana,Carbon Dioxide,Food & Beverage,Mar,2024,3424,3136,6905472,5010580,1894892,187,5,9.52,78.35
Dahej,West,Gujarat,Helium,Steel,Oct,2022,3724,3577,10813271,8172138,2641133,201,5,9.71,81.19
Bengaluru,South,Karnataka,Hydrogen,Steel,Dec,2023,4887,4104,14035680,10930481,3105199,359,10,8.15,83.53
Hazira,West,Gujarat,Carbon Dioxide,Steel,Jan,2024,2479,2111,8813425,5166039,3647386,454,9,7.97,96.83
Hyderabad,South,Telangana,Carbon Dioxide,Pharmaceutical,Mar,2024,3842,3135,12743775,7451537,5292238,445,6,9.41,92.49
Vadodara,West,Gujarat,Oxygen,Pharmaceutical,Jun,2024,1890,1770,3663900,2743354,920546,427,10,9.56,87.11
Bengaluru,South,Karnataka,Oxygen,Chemical,Dec,2025,2562,2498,6304952,5155858,1149094,475,6,9.01,84.74
Jamshedpur,East,Jharkhand,Hydrogen,Pharmaceutical,Mar,2023,4532,4044,10668072,6488480,4179592,332,7,7.43,94.81
Pune,West,Maharashtra,Helium,Pharmaceutical,Jun,2022,1378,1305,4023315,2370202,1653113,306,9,9.51,78.32
Dahej,West,Gujarat,Nitrogen,Electronics,Feb,2025,4173,3916,12026036,9222941,2803095,472,2,7.5,81.52
Bengaluru,South,Karnataka,Argon,Steel,Nov,2022,4377,3598,13348580,8265071,5083509,381,9,7.89,84.25
Dahej,West,Gujarat,Helium,Chemical,Feb,2025,2426,2171,7613697,4638804,2974893,470,7,9.17,87.98
Dahej,West,Gujarat,Helium,Food & Beverage,Sep,2024,1775,1751,7273654,5940591,1333063,500,3,7.49,83.51
Jamshedpur,East,Jharkhand,Helium,Pharmaceutical,Dec,2023,1187,1019,3730559,2119587,1610972,419,4,8.75,95.88
Hazira,West,Gujarat,Hydrogen,Chemical,May,2022,755,691,2335580,1636268,699312,463,8,8.51,85.63
Pune,West,Maharashtra,Nitrogen,Electronics,May,2025,4556,3880,11814600,8410895,3403705,359,9,7.23,82.71
Chennai,South,Tamil Nadu,Carbon Dioxide,Electronics,May,2025,4359,3791,10057523,6066775,3990748,482,8,8.98,77.61
Bengaluru,South,Karnataka,Hydrogen,Food & Beverage,Mar,2024,3161,3086,10723850,6984264,3739586,281,7,8.1,96.82
Chennai,South,Tamil Nadu,Carbon Dioxide,Pharmaceutical,Jun,2022,4812,4191,16558641,12200414,4358227,488,8,8.58,82.0
Hyderabad,South,Telangana,Argon,Healthcare,Jun,2025,3553,2909,8587368,5186550,3400818,118,1,9.12,78.77
Vadodara,West,Gujarat,Carbon Dioxide,Healthcare,May,2023,4955,4085,8766410,6291064,2475346,484,2,9.55,84.42
Pune,West,Maharashtra,Nitrogen,Pharmaceutical,Sep,2023,4444,3649,10228147,6988648,3239499,389,4,9.74,87.0
Pune,West,Maharashtra,Argon,Steel,Jul,2023,3287,3019,10321961,7392180,2929781,290,4,7.2,91.35
Chennai,South,Tamil Nadu,Nitrogen,Electronics,Oct,2024,4882,4534,14141546,11022022,3119524,280,7,8.25,76.24
Hyderabad,South,Telangana,Carbon Dioxide,Food & Beverage,Jan,2023,3937,3804,8186208,4518587,3667621,83,6,8.84,78.64
Hyderabad,South,Telangana,Hydrogen,Pharmaceutical,Dec,2022,4271,4166,10310850,8222501,2088349,176,3,8.39,92.35
Pune,West,Maharashtra,Oxygen,Steel,Nov,2024,2061,1975,7623500,4914744,2708756,460,9,7.76,92.83
Hazira,West,Gujarat,Carbon Dioxide,Steel,Feb,2025,4922,4714,13878016,9164105,4713911,309,6,9.49,78.75
Hyderabad,South,Telangana,Nitrogen,Steel,May,2022,3125,2601,10315566,6244822,4070744,356,4,8.96,91.03
Hyderabad,South,Telangana,Argon,Chemical,Jun,2024,3769,3706,8631274,5096602,3534672,271,10,9.47,78.21
Hazira,West,Gujarat,Oxygen,Chemical,Oct,2024,2992,2775,8547000,5480893,3066107,60,4,8.33,91.36
Hazira,West,Gujarat,Argon,Chemical,Mar,2022,3405,2822,5274318,4158837,1115481,440,7,8.5,93.07
Vadodara,West,Gujarat,Oxygen,Steel,Sep,2022,3115,2728,7073704,5068256,2005448,427,4,7.97,85.49
Hazira,West,Gujarat,Hydrogen,Healthcare,Oct,2022,3477,3130,12200740,9019138,3181602,162,7,7.4,98.43
Chennai,South,Tamil Nadu,Hydrogen,Steel,Jan,2024,763,652,1811256,1271833,539423,188,2,9.53,78.44
